INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-MAXPW_EASY_100_017.kp,136,252,955,270,955,955,955,955,955,955
GA-MAXPW_EASY_100_018.kp,291,128,1097,335,672,1097,1097,1097,335,1097
GA-MAXPW_EASY_100_019.kp,268,167,1053,346,1053,1053,1053,1053,1053,1034
GA-MAXPW_EASY_100_020.kp,384,501,1278,514,1278,1278,1278,1278,1280,1278
GA-MAXPW_EASY_100_021.kp,203,408,1161,374,1161,1161,1161,1161,1088,1161
GA-MAXPW_EASY_100_022.kp,242,248,1173,355,1173,1173,1173,1173,1173,1173
GA-MAXPW_EASY_100_023.kp,158,241,1090,352,1082,1090,1090,1090,991,1050
GA-MAXPW_EASY_100_024.kp,178,353,1124,442,1124,1124,1124,1124,1124,1124
GA-MAXPW_EASY_100_025.kp,114,127,1025,280,747,1025,1025,1025,747,1025
GA-MAXPW_EASY_100_026.kp,138,154,954,224,879,954,954,954,868,954
GA-MAXPW_EASY_100_027.kp,188,349,1168,403,1168,1168,1168,1168,1168,1168
GA-MAXPW_EASY_100_028.kp,350,356,1228,462,755,1228,1228,1228,462,1228
GA-MAXPW_EASY_100_029.kp,98,128,1226,434,1226,1226,1226,1226,1226,1226
GA-MAXPW_EASY_100_030.kp,272,251,1122,396,1122,1122,1122,1122,1029,1122
GA-MAXPW_EASY_100_031.kp,196,128,1051,352,128,128,1051,605,128,605
GA-MAXPW_EASY_100_032.kp,381,128,1118,395,1069,1118,1118,1118,857,937
GA-MAXPW_EASY_100_033.kp,159,255,1021,243,1021,1021,1021,1021,1021,1021
GA-MAXPW_EASY_100_034.kp,298,332,1053,347,1053,1053,1053,1053,1053,1053
GA-MAXPW_EASY_100_035.kp,335,595,1444,659,659,1444,1444,1444,1444,1444
GA-MAXPW_EASY_100_036.kp,225,486,1221,479,1221,1221,1221,1221,1221,1221
GA-MAXPW_EASY_100_037.kp,133,162,999,246,246,999,999,999,999,999
GA-MAXPW_EASY_100_038.kp,252,182,1069,307,1069,1069,1069,1069,1069,1069
