"INSTANCE","WEIGHT","PROFIT","CORRELATION","DEF","MAXP","MAXPW","MINW","MARK","BEST","ORACLE"
"GA-MaxProfitPerWeight_50_057.kp",0.456,0.484,0.585,359,687,1408,714,491,"MAXPW",1408
"GA-MaxProfitPerWeight_50_058.kp",0.412,0.484,0.518,354,NA,1449,736,463,"MAXPW",1449
"GA-MaxProfitPerWeight_50_059.kp",0.532,0.508,0.49,295,733,1368,843,540,"MAXPW",1368
"GA-MaxProfitPerWeight_50_060.kp",0.412,0.518,0.595,503,843,1490,786,NA,"MAXPW",1490
"GA-MaxProfitPerWeight_50_061.kp",0.412,0.512,0.441,437,856,NA,836,547,"MAXP",856
"GA-MaxProfitPerWeight_50_062.kp",0.422,0.532,0.636,307,736,NA,786,481,"MINW",786
"GA-MaxProfitPerWeight_50_063.kp",0.417,0.544,0.595,620,730,1426,808,532,"MAXPW",1426
"GA-MaxProfitPerWeight_50_064.kp",0.45,0.512,0.566,550,717,1373,736,591,"MAXPW",1373
"GA-MaxProfitPerWeight_50_065.kp",0.429,0.531,0.64,537,505,1373,661,495,"MAXPW",1373
"GA-MaxProfitPerWeight_50_066.kp",0.535,0.538,0.554,442,744,1342,768,NA,"MAXPW",1342
"GA-MaxProfitPerWeight_50_067.kp",0.439,0.478,0.581,607,706,1325,NA,597,"MAXPW",1325
"GA-MaxProfitPerWeight_50_068.kp",0.421,0.496,0.537,667,732,1510,881,NA,"MAXPW",1510
"GA-MaxProfitPerWeight_50_069.kp",0.407,0.53,0.558,NA,1043,1626,1046,460,"MAXPW",1626
"GA-MaxProfitPerWeight_50_070.kp",0.47,0.571,0.517,392,732,1476,916,589,"MAXPW",1476
"GA-MaxProfitPerWeight_50_071.kp",0.512,0.514,0.53,342,622,1402,828,592,"MAXPW",1402
"GA-MaxProfitPerWeight_50_072.kp",0.47,0.517,0.548,538,627,1324,722,501,"MAXPW",1324
"GA-MaxProfitPerWeight_50_073.kp",0.455,0.551,0.515,770,1085,NA,1051,475,"MAXP",1085
"GA-MaxProfitPerWeight_50_074.kp",0.469,0.572,0.625,404,NA,1409,845,462,"MAXPW",1409
"GA-MaxProfitPerWeight_50_075.kp",0.495,0.524,0.574,337,640,1288,594,493,"MAXPW",1288
"GA-MaxProfitPerWeight_50_076.kp",0.455,0.538,0.492,509,716,1376,813,482,"MAXPW",1376
"GA-MaxProfitPerWeight_50_077.kp",0.46,0.547,0.552,381,843,1502,917,471,"MAXPW",1502
"GA-MaxProfitPerWeight_50_078.kp",0.416,0.535,0.522,460,1053,1668,1050,588,"MAXPW",1668
"GA-MaxProfitPerWeight_50_079.kp",0.46,0.576,0.615,314,725,1486,NA,462,"MAXPW",1486
"GA-MaxProfitPerWeight_50_080.kp",0.449,0.55,0.642,362,875,1386,858,619,"MAXPW",1386
"GA-MaxProfitPerWeight_50_081.kp",0.502,0.546,0.597,524,622,1341,728,577,"MAXPW",1341
"GA-MaxProfitPerWeight_50_082.kp",0.425,0.53,0.611,403,NA,1389,781,502,"MAXPW",1389
"GA-MaxProfitPerWeight_50_083.kp",0.461,0.551,0.668,404,689,1320,740,491,"MAXPW",1320
"GA-MaxProfitPerWeight_50_084.kp",0.441,0.532,0.66,521,NA,1450,884,444,"MAXPW",1450
"GA-MaxProfitPerWeight_50_085.kp",0.432,0.504,0.646,NA,633,1444,822,504,"MAXPW",1444
"GA-MaxProfitPerWeight_50_086.kp",0.485,0.502,0.661,361,743,1335,NA,565,"MAXPW",1335
"GA-MaxProfitPerWeight_50_087.kp",0.479,0.559,0.484,843,763,1638,964,NA,"MAXPW",1638
"GA-MaxProfitPerWeight_50_088.kp",0.441,0.532,0.623,368,739,1443,814,494,"MAXPW",1443
"GA-MaxProfitPerWeight_50_089.kp",0.517,0.447,0.569,352,728,1269,732,469,"MAXPW",1269
