INSTANCE,DEF,MAXP,MAXPW,MINW,PBMH,GA
GA-MAXP_EASY_100_014,297,730,660,488,730.0,457.0
GA-MAXP_EASY_100_015,124,669,596,372,669.0,462.0
GA-MAXP_EASY_100_016,133,539,450,324,539.0,460.0
GA-MAXP_EASY_100_017,74,665,580,497,665.0,438.0
GA-MAXP_EASY_100_018,263,725,624,501,725.0,527.0
GA-MAXP_EASY_100_019,231,582,510,327,582.0,468.0
GA-MAXP_EASY_100_020,306,795,712,552,795.0,568.0
GA-MAXP_EASY_100_021,298,853,761,666,853.0,600.0
GA-MAXP_EASY_100_022,267,859,777,691,859.0,760.0
GA-MAXP_EASY_100_023,243,1109,1039,915,1109.0,906.0
GA-MAXP_EASY_100_024,147,828,764,647,845.0,504.0
GA-MAXP_EASY_100_025,236,995,914,731,995.0,750.0
GA-MAXP_EASY_100_026,185,656,582,493,656.0,406.0
GA-MAXP_EASY_100_027,159,565,479,234,565.0,409.0
GA-MAXP_EASY_100_028,200,744,674,550,745.0,516.0
GA-MAXP_EASY_100_029,136,516,438,359,516.0,359.0
GA-MAXP_EASY_100_030,145,751,667,439,751.0,495.0
GA-MAXP_EASY_100_031,288,661,580,384,661.0,496.0
GA-MAXP_EASY_100_032,110,646,575,424,646.0,472.0
GA-MAXP_EASY_100_033,4,808,727,670,808.0,513.0
GA-MAXP_EASY_100_034,515,864,791,728,864.0,791.0
GA-MAXP_EASY_100_035,201,1027,942,750,1027.0,690.0
GA-MAXP_EASY_100_036,331,912,841,667,912.0,741.0
GA-MAXP_EASY_100_037,378,827,750,634,827.0,745.0
GA-MAXP_EASY_100_038,319,714,626,626,714.0,663.0
GA-MAXP_EASY_100_039,110,950,887,798,950.0,638.0
GA-MAXP_EASY_100_040,238,1054,966,966,1054.0,778.0
GA-MAXP_EASY_100_041,254,730,658,535,730.0,454.0
GA-MAXP_EASY_100_042,99,912,837,601,912.0,745.0
GA-MAXP_EASY_100_043,444,949,867,754,949.0,653.0
GA-MAXP_EASY_100_044,253,631,563,456,631.0,452.0
GA-MAXP_EASY_100_045,167,650,587,332,650.0,385.0
GA-MAXP_EASY_100_046,213,821,750,535,821.0,670.0
GA-MAXP_EASY_100_047,193,781,700,625,781.0,480.0
GA-MAXP_EASY_100_048,326,724,655,589,724.0,487.0
GA-MAXP_EASY_100_049,143,586,522,522,586.0,375.0
GA-MAXP_EASY_100_050,195,997,923,804,997.0,551.0
GA-MAXP_EASY_100_051,248,932,853,735,932.0,824.0
GA-MAXP_EASY_100_052,222,960,883,662,960.0,587.0
GA-MAXP_EASY_100_053,271,925,835,835,925.0,766.0
GA-MAXP_EASY_100_054,152,703,635,525,708.0,457.0
GA-MAXP_EASY_100_055,491,763,689,599,763.0,643.0
GA-MAXP_EASY_100_056,292,722,633,520,722.0,509.0
GA-MAXP_EASY_100_057,305,852,772,771,852.0,723.0
GA-MAXP_EASY_100_058,458,590,522,458,590.0,413.0
GA-MAXP_EASY_100_059,52,780,686,582,780.0,658.0
GA-MAXP_EASY_100_060,118,915,848,762,915.0,851.0
GA-MAXP_EASY_100_061,598,1061,991,888,1061.0,655.0
GA-MAXP_EASY_100_062,421,1030,955,747,1030.0,679.0
GA-MAXP_EASY_100_063,249,959,896,666,959.0,661.0
GA-MAXP_EASY_100_064,229,663,582,425,663.0,530.0
GA-MAXP_EASY_100_065,178,799,724,612,799.0,527.0
GA-MAXP_EASY_100_066,299,1033,946,924,1033.0,612.0
GA-MAXP_EASY_100_067,32,699,620,502,699.0,611.0
GA-MAXP_EASY_100_068,170,787,703,638,787.0,704.0
GA-MAXP_EASY_100_069,288,745,672,672,745.0,502.0
GA-MAXP_EASY_100_070,160,803,735,634,803.0,432.0
GA-MAXP_EASY_100_071,331,1053,975,862,1053.0,570.0
GA-MAXP_EASY_100_072,523,749,681,573,749.0,482.0
GA-MAXP_EASY_100_073,62,941,865,745,941.0,606.0
GA-MAXP_EASY_100_074,284,677,607,607,677.0,443.0
