INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-MAXPW_EASY_100_020.kp,384,501,1278,514,1278,1278,1278,1278,1278,1278
GA-MAXPW_EASY_100_021.kp,203,408,1161,374,374,1161,1161,1161,1161,1161
GA-MAXPW_EASY_100_022.kp,242,248,1173,355,1173,1173,1173,1173,1173,1173
GA-MAXPW_EASY_100_023.kp,158,241,1090,352,1090,1090,1090,1090,1090,1090
GA-MAXPW_EASY_100_024.kp,178,353,1124,442,1124,1124,1124,1124,1124,1124
GA-MAXPW_EASY_100_025.kp,114,127,1025,280,1025,1025,1025,1025,1025,1025
GA-MAXPW_EASY_100_026.kp,138,154,954,224,954,954,954,954,954,954
GA-MAXPW_EASY_100_027.kp,188,349,1168,403,1168,1168,1168,1168,1168,1168
GA-MAXPW_EASY_100_028.kp,350,356,1228,462,1228,1228,1228,1228,1228,1228
GA-MAXPW_EASY_100_029.kp,98,128,1226,434,1226,1226,1226,1226,1226,1226
GA-MAXPW_EASY_100_030.kp,272,251,1122,396,1122,1122,1122,1122,1122,1122
GA-MAXPW_EASY_100_031.kp,196,128,1051,352,128,128,1051,1051,128,1051
GA-MAXPW_EASY_100_032.kp,381,128,1118,395,1118,1118,1118,1118,1118,1118
GA-MAXPW_EASY_100_033.kp,159,255,1021,243,1021,1021,1021,1021,1021,1021
GA-MAXPW_EASY_100_034.kp,298,332,1053,347,1053,1053,1053,1053,1053,1053
GA-MAXPW_EASY_100_035.kp,335,595,1444,659,659,1444,1444,1444,1444,1444
GA-MAXPW_EASY_100_036.kp,225,486,1221,479,1221,1221,1221,1221,1221,1221
GA-MAXPW_EASY_100_037.kp,133,162,999,246,246,999,999,999,999,999
GA-MAXPW_EASY_100_038.kp,252,182,1069,307,1069,1069,1069,1069,1069,1069
GA-MAXPW_EASY_100_039.kp,150,362,1141,410,1141,1141,1141,1141,1141,1141
GA-MAXPW_EASY_100_040.kp,193,350,1150,380,380,1150,1150,1150,1150,1150
GA-MAXPW_EASY_100_041.kp,167,507,1294,525,525,1294,1294,1294,1294,1294
GA-MAXPW_EASY_100_042.kp,256,335,1007,351,1007,1007,1007,1007,1007,1007
GA-MAXPW_EASY_100_043.kp,214,128,1106,384,1106,384,1106,1106,1106,1106
GA-MAXPW_EASY_100_044.kp,54,289,1080,329,289,289,329,289,289,289
GA-MAXPW_EASY_100_045.kp,127,127,959,233,959,959,959,959,959,959
GA-MAXPW_EASY_100_046.kp,138,128,941,184,941,941,941,941,941,941
GA-MAXPW_EASY_100_047.kp,129,234,1050,324,1050,1050,1050,1050,1050,1050
GA-MAXPW_EASY_100_048.kp,256,286,988,262,988,988,988,988,988,988
GA-MAXPW_EASY_100_049.kp,180,198,957,209,209,957,957,957,198,957
GA-MAXPW_EASY_100_050.kp,103,210,1164,417,1164,1164,1164,1164,1164,1164
GA-MAXPW_EASY_100_051.kp,132,383,1099,334,1099,1099,1099,1099,1099,1099
GA-MAXPW_EASY_100_052.kp,187,386,1208,352,1208,1208,1208,1208,1208,1208
GA-MAXPW_EASY_100_053.kp,217,248,1095,308,1095,1095,1095,1095,1095,1095
